72Пл;72Ам;72Нс;72;Пл;Ам;Нс;;Пл;Ам;Нс;;2 670
72Н;72Чм;72Б;72;Н;Чм;Б;;Н;Чм;Б;;2 500
72ЧМБ;72ЧМЖ;72ЧМК;72;ЧМБ;ЧМЖ;ЧМК;;ЧМБ;ЧМЖ;ЧМК;;2 815
64Пл;64Ам;64Нс;64;66Пл;66Ам;66Нс;66;Пл;Ам;Нс;;2 670
64Н;64Чм;64Б;64;66Н;66Чм;66Б;66;Н;Чм;Б;;2 500
64ЧМБ;64ЧМЖ;64ЧМК;64;66ЧМБ;66ЧМЖ;66ЧМК;66;ЧМБ;ЧМЖ;ЧМК;;2 815
414Пл;414А;414Ам;414Нс;Пл;А;Ам;Нс;Пл;А;Ам;Нс;2 725
414Н;414Чм;414Б;414;Н;Чм;Б;;Н;Чм;Б;;2 550
79.1,Пл;79.1,;79.1,;79.1,;82.1Пл;82.1;82.1;82.1;Пл;;;;3 085
79.1,Н;79.1,Чм;79.1,Б;79.1,;82.1Н;82.1Чм;82.1Б;82.1;Н;Чм;Б;;2 890
79.2,Пл;79.2,;79.2,;79.2,;82.2Пл;82.2;82.2;82.2;Пл;;;;2 950
79.2,Н;79.2,Чм;79.2,Б;79.2,;82.2Н;82.2Чм;82.2Б;82.2;Н;Чм;Б;;2 760
604А;604Ам;604;604;А;Ам;;;А;Ам;;;3 155
604Н;604;604;604;Н;;;;Н;;;;2 955
606А;606Ам;606;606;А;Ам;;;А;Ам;;;3 155
606Н;606;606;606;Н;;;;Н;;;;2 955
84Пл;84Ам;84Нс;84;85Пл;85Ам;85Нс;85;86Пл;86Ам;86Нс;86;3 155
84Н;84Чм;84Б;84;85Н;85Чм;85Б;85;86Н;86Чм;86Б;86;2 955
84ЧБ;84;84;84;85ЧБ;85;85;85;86ЧБ;86;86;86;3 325
404Пл;404Ам;404Нс;404;406Пл;406Ам;406Нс;406;Пл;Ам;Нс;;3 155
404Н;404Чм;404Б;404;406Н;406Чм;406Б;406;Н;Чм;Б;;2 955
404ЧБ;404;404;404;406ЧБ;406;406;406;ЧБ;;;;3 325
402Пл;402А;402Нс;402;Пл;А;Нс;;Пл;А;Нс;;3 155
402Н;402Чм;402Б;402;Н;Чм;Б;;Н;Чм;Б;;2 955
68Пл;68Ам;68Нс;68;Пл;Ам;Нс;;Пл;Ам;Нс;;3 155
68Н;68Чм;68Б;68;Н;Чм;Б;;Н;Чм;Б;;2 955
68ЧМБ;68ЧМЖ;68ЧМК;68;ЧМБ;ЧМЖ;ЧМК;;ЧМБ;ЧМЖ;ЧМК;;3 325
78Пл;78Ам;78Нс;78;80Пл;80Ам;80Нс;80;Пл;Ам;Нс;;3 210
78Н;78Чм;78Б;78;80Н;80Чм;80Б;80;Н;Чм;Б;;3 005
78ЧМБ;78ЧМЖ;78ЧМК;78;80ЧМБ;80ЧМЖ;80ЧМК;80;ЧМБ;ЧМЖ;ЧМК;;3 385
411Пл;411А;411Ам;411Нс;412Пл;412А;412Ам;412Нс;Пл;А;Ам;Нс;3 210
411Н;411Чм;411Б;411;412Н;412Чм;412Б;412;Н;Чм;Б;;3 005
605А;605Ам;605;605;А;Ам;;;А;Ам;;;3 660
605Н;605;605;605;Н;;;;Н;;;;3 425
60Пл;60Ам;60Нс;60;61Пл;61Ам;61Нс;61;Пл;Ам;Нс;;3 660
60Н;60Чм;60Б;60;61Н;61Чм;61Б;61;Н;Чм;Б;;3 425
60ЧМБ;60ЧМЖ;60ЧМК;60;61ЧМБ;61ЧМЖ;61ЧМК;61;ЧМБ;ЧМЖ;ЧМК;;3 860
58Пл;58Ам;58Нс;58;Пл;Ам;Нс;;Пл;Ам;Нс;;3 660
58Н;58Чм;58Б;58;Н;Чм;Б;;Н;Чм;Б;;3 425
58ЧБ;58;58;58;ЧБ;;;;ЧБ;;;;3 860
87Пл;87Ам;87Нс;87;Пл;Ам;Нс;;Пл;Ам;Нс;;3 660
87Нн;87Т;87Чм;87Бн;Нн;Т;Чм;Бн;Нн;Т;Чм;Бн;3 425
87ЧБ;87;87;87;ЧБ;;;;ЧБ;;;;3 860
89Пл;89Ам;89;89;90Пл;90Ам;90;90;Пл;Ам;;;3 660
89Нн;89Чм;89Бн;89;90Нн;90Чм;90Бн;90;Нн;Чм;Бн;;3 425
89ЧБ;89;89;89;90ЧБ;90;90;90;ЧБ;;;;3 860
55Пл;55Ам;55;55;Пл;Ам;;;Пл;Ам;;;3 695
55Н;55Чм;55Б;55;Н;Чм;Б;;Н;Чм;Б;;3 460
55ЧМБ;55ЧМЖ;55ЧМК;55;ЧМБ;ЧМЖ;ЧМК;;ЧМБ;ЧМЖ;ЧМК;;3 895
407Пл;407А;407Ам;407Нс;408Пл;408А;408Ам;408Нс;410Пл;410А;410Ам;410Нс;3 695
